,Symbol,Count,Max Close value,Min Close value,Oldest Date,Recent Date
268,SBID83,357,1147.4,860.0,2022-12-11,2025-05-28
269,TVCL,344,675.0,294.8,2023-12-07,2025-06-04
270,NWCL,339,1242.6,229.6,2023-12-21,2025-06-11
271,MKCL,336,1830.0,196.6,2023-12-14,2025-05-28
272,CKHL,335,899.0,330.0,2023-12-21,2025-06-05
273,PMLI,333,703.0,485.0,2023-12-19,2025-05-28
274,VLUCL,331,795.0,401.8,2023-12-21,2025-05-28
276,HRL,322,1124.1,340.1,2024-01-08,2025-05-28
277,BOKD86,303,1095.0,740.1,2022-12-11,2025-05-28
280,SARBTM,278,1082.7,611.6,2024-03-19,2025-06-05
283,BNL,247,23290.6,1903.9,2021-08-01,2025-06-04
285,NMLBBL,237,935.1,614.42,2024-05-19,2025-05-28
286,EBLD85,222,1189.48,990.0,2023-12-10,2025-05-28
289,SMPDA,184,1162.7,848.0,2024-08-18,2025-06-11
290,MATRI,183,1682.5,1146.01,2024-08-13,2025-06-05
291,HBLD83,165,1128.0,971.0,2020-12-06,2025-05-26
292,NBLD82,156,1248.0,910.2,2021-05-31,2025-05-06
293,KBLD89,145,1274.0,1000.0,2023-12-18,2025-05-21
296,NABILD87,129,1118.0,962.1,2024-03-31,2025-05-27
297,SCBD,107,1150.0,1027.6,2024-05-05,2025-05-28
298,JBBLPO,79,220.0,111.0,2020-07-05,2025-05-20
299,GMLI,75,2648.22,331.1,2025-02-09,2025-06-05
302,GSY,71,9.86,8.89,2025-02-20,2025-06-11
304,SLK,56,12.82,9.47,2023-07-18,2025-05-28
305,NMBSBF,51,12.19,8.67,2023-07-18,2025-05-06
306,KSLY,48,13.7,10.18,2023-07-18,2025-05-27
308,CREST,36,2234.8,332.7,2025-04-10,2025-06-05
311,VLBSPO,24,976.0,327.0,2020-12-14,2025-05-28
312,OMPL,22,1994.7,297.0,2025-05-04,2025-06-05
315,NICLPO,18,629.0,292.0,2020-11-05,2025-02-10
316,SMATAP,11,495.0,332.0,2022-06-21,2025-04-13
318,GILB,8,1299.75,1228.85,2025-06-02,2025-06-11
320,NMIC,8,1823.42,1595.79,2025-06-02,2025-06-11
322,PURE,6,512.3,318.2,2025-05-27,2025-06-05
324,HIDCL,5,315.31,310.48,2025-06-05,2025-06-11
326,ULBSL,3,3592.89,3402.88,2025-06-02,2025-06-04
327,GMFILP,3,264.0,213.0,2021-12-29,2025-05-21
329,NUBL,3,694.1,685.24,2025-06-02,2025-06-04
